filename,filepath,relative_path,split,category,ees_score,computation_time_ms,n_qubits,circuit_depth,status
NoImpairment (1014).jpg,data\train\No Impairment\NoImpairment (1014).jpg,train\No Impairment\NoImpairment (1014).jpg,train,No Impairment,0.006936,93.73,10,1,success
NoImpairment (1015).jpg,data\train\No Impairment\NoImpairment (1015).jpg,train\No Impairment\NoImpairment (1015).jpg,train,No Impairment,1.245416,84.6,10,1,success
NoImpairment (1016).jpg,data\train\No Impairment\NoImpairment (1016).jpg,train\No Impairment\NoImpairment (1016).jpg,train,No Impairment,1.183259,99.07,10,1,success
NoImpairment (1017).jpg,data\train\No Impairment\NoImpairment (1017).jpg,train\No Impairment\NoImpairment (1017).jpg,train,No Impairment,0.725782,90.92,10,1,success
NoImpairment (1018).jpg,data\train\No Impairment\NoImpairment (1018).jpg,train\No Impairment\NoImpairment (1018).jpg,train,No Impairment,0.253536,81.25,10,1,success
NoImpairment (1019).jpg,data\train\No Impairment\NoImpairment (1019).jpg,train\No Impairment\NoImpairment (1019).jpg,train,No Impairment,0.372702,99.12,10,1,success
NoImpairment (102).jpg,data\train\No Impairment\NoImpairment (102).jpg,train\No Impairment\NoImpairment (102).jpg,train,No Impairment,0.000107,91.49,10,1,success
NoImpairment (1020).jpg,data\train\No Impairment\NoImpairment (1020).jpg,train\No Impairment\NoImpairment (1020).jpg,train,No Impairment,0.726389,97.95,10,1,success
NoImpairment (1021).jpg,data\train\No Impairment\NoImpairment (1021).jpg,train\No Impairment\NoImpairment (1021).jpg,train,No Impairment,0.512246,88.37,10,1,success
NoImpairment (1022).jpg,data\train\No Impairment\NoImpairment (1022).jpg,train\No Impairment\NoImpairment (1022).jpg,train,No Impairment,0.286714,96.2,10,1,success
NoImpairment (1023).jpg,data\train\No Impairment\NoImpairment (1023).jpg,train\No Impairment\NoImpairment (1023).jpg,train,No Impairment,1.090117,94.83,10,1,success
NoImpairment (1024).jpg,data\train\No Impairment\NoImpairment (1024).jpg,train\No Impairment\NoImpairment (1024).jpg,train,No Impairment,0.311259,96.74,10,1,success
NoImpairment (1025).jpg,data\train\No Impairment\NoImpairment (1025).jpg,train\No Impairment\NoImpairment (1025).jpg,train,No Impairment,0.82716,108.76,10,1,success
NoImpairment (1026).jpg,data\train\No Impairment\NoImpairment (1026).jpg,train\No Impairment\NoImpairment (1026).jpg,train,No Impairment,1.876835,89.33,10,1,success
NoImpairment (1027).jpg,data\train\No Impairment\NoImpairment (1027).jpg,train\No Impairment\NoImpairment (1027).jpg,train,No Impairment,1.075674,84.72,10,1,success
NoImpairment (1028).jpg,data\train\No Impairment\NoImpairment (1028).jpg,train\No Impairment\NoImpairment (1028).jpg,train,No Impairment,0.197256,84.43,10,1,success
NoImpairment (1029).jpg,data\train\No Impairment\NoImpairment (1029).jpg,train\No Impairment\NoImpairment (1029).jpg,train,No Impairment,0.399989,90.12,10,1,success
NoImpairment (103).jpg,data\train\No Impairment\NoImpairment (103).jpg,train\No Impairment\NoImpairment (103).jpg,train,No Impairment,0.890817,96.84,10,1,success
NoImpairment (1030).jpg,data\train\No Impairment\NoImpairment (1030).jpg,train\No Impairment\NoImpairment (1030).jpg,train,No Impairment,0.704764,88.61,10,1,success
NoImpairment (1031).jpg,data\train\No Impairment\NoImpairment (1031).jpg,train\No Impairment\NoImpairment (1031).jpg,train,No Impairment,0.959638,88.78,10,1,success
NoImpairment (1032).jpg,data\train\No Impairment\NoImpairment (1032).jpg,train\No Impairment\NoImpairment (1032).jpg,train,No Impairment,1.60938,107.23,10,1,success
NoImpairment (1033).jpg,data\train\No Impairment\NoImpairment (1033).jpg,train\No Impairment\NoImpairment (1033).jpg,train,No Impairment,1.168816,83.04,10,1,success
NoImpairment (1034).jpg,data\train\No Impairment\NoImpairment (1034).jpg,train\No Impairment\NoImpairment (1034).jpg,train,No Impairment,0.734958,91.08,10,1,success
NoImpairment (1035).jpg,data\train\No Impairment\NoImpairment (1035).jpg,train\No Impairment\NoImpairment (1035).jpg,train,No Impairment,0.47249,98.63,10,1,success
NoImpairment (1036).jpg,data\train\No Impairment\NoImpairment (1036).jpg,train\No Impairment\NoImpairment (1036).jpg,train,No Impairment,0.738876,91.84,10,1,success
NoImpairment (1037).jpg,data\train\No Impairment\NoImpairment (1037).jpg,train\No Impairment\NoImpairment (1037).jpg,train,No Impairment,0.201167,82.18,10,1,success
NoImpairment (1038).jpg,data\train\No Impairment\NoImpairment (1038).jpg,train\No Impairment\NoImpairment (1038).jpg,train,No Impairment,0.786131,98.59,10,1,success
NoImpairment (1039).jpg,data\train\No Impairment\NoImpairment (1039).jpg,train\No Impairment\NoImpairment (1039).jpg,train,No Impairment,0.073463,83.76,10,1,success
NoImpairment (104).jpg,data\train\No Impairment\NoImpairment (104).jpg,train\No Impairment\NoImpairment (104).jpg,train,No Impairment,0.644818,108.91,10,1,success
NoImpairment (1040).jpg,data\train\No Impairment\NoImpairment (1040).jpg,train\No Impairment\NoImpairment (1040).jpg,train,No Impairment,0.865953,84.07,10,1,success
NoImpairment (1041).jpg,data\train\No Impairment\NoImpairment (1041).jpg,train\No Impairment\NoImpairment (1041).jpg,train,No Impairment,1.752575,93.57,10,1,success
NoImpairment (1042).jpg,data\train\No Impairment\NoImpairment (1042).jpg,train\No Impairment\NoImpairment (1042).jpg,train,No Impairment,1.049113,94.89,10,1,success
NoImpairment (1043).jpg,data\train\No Impairment\NoImpairment (1043).jpg,train\No Impairment\NoImpairment (1043).jpg,train,No Impairment,0.828275,102.24,10,1,success
NoImpairment (1044).jpg,data\train\No Impairment\NoImpairment (1044).jpg,train\No Impairment\NoImpairment (1044).jpg,train,No Impairment,0.097272,96.51,10,1,success
NoImpairment (1045).jpg,data\train\No Impairment\NoImpairment (1045).jpg,train\No Impairment\NoImpairment (1045).jpg,train,No Impairment,1.190074,93.33,10,1,success
NoImpairment (1046).jpg,data\train\No Impairment\NoImpairment (1046).jpg,train\No Impairment\NoImpairment (1046).jpg,train,No Impairment,0.817937,91.42,10,1,success
NoImpairment (1047).jpg,data\train\No Impairment\NoImpairment (1047).jpg,train\No Impairment\NoImpairment (1047).jpg,train,No Impairment,0.001418,93.24,10,1,success
NoImpairment (1048).jpg,data\train\No Impairment\NoImpairment (1048).jpg,train\No Impairment\NoImpairment (1048).jpg,train,No Impairment,1.530726,96.57,10,1,success
NoImpairment (1049).jpg,data\train\No Impairment\NoImpairment (1049).jpg,train\No Impairment\NoImpairment (1049).jpg,train,No Impairment,0.946845,105.71,10,1,success
NoImpairment (105).jpg,data\train\No Impairment\NoImpairment (105).jpg,train\No Impairment\NoImpairment (105).jpg,train,No Impairment,0.946215,109.07,10,1,success
NoImpairment (1050).jpg,data\train\No Impairment\NoImpairment (1050).jpg,train\No Impairment\NoImpairment (1050).jpg,train,No Impairment,1.089671,82.49,10,1,success
NoImpairment (1051).jpg,data\train\No Impairment\NoImpairment (1051).jpg,train\No Impairment\NoImpairment (1051).jpg,train,No Impairment,0.78332,108.62,10,1,success
NoImpairment (1052).jpg,data\train\No Impairment\NoImpairment (1052).jpg,train\No Impairment\NoImpairment (1052).jpg,train,No Impairment,0.875763,92.18,10,1,success
NoImpairment (1053).jpg,data\train\No Impairment\NoImpairment (1053).jpg,train\No Impairment\NoImpairment (1053).jpg,train,No Impairment,0.75265,113.04,10,1,success
NoImpairment (1054).jpg,data\train\No Impairment\NoImpairment (1054).jpg,train\No Impairment\NoImpairment (1054).jpg,train,No Impairment,1.153327,82.25,10,1,success
NoImpairment (1055).jpg,data\train\No Impairment\NoImpairment (1055).jpg,train\No Impairment\NoImpairment (1055).jpg,train,No Impairment,0.027285,98.33,10,1,success
NoImpairment (1056).jpg,data\train\No Impairment\NoImpairment (1056).jpg,train\No Impairment\NoImpairment (1056).jpg,train,No Impairment,1.523689,90.5,10,1,success
NoImpairment (1057).jpg,data\train\No Impairment\NoImpairment (1057).jpg,train\No Impairment\NoImpairment (1057).jpg,train,No Impairment,0.186161,90.88,10,1,success
NoImpairment (1058).jpg,data\train\No Impairment\NoImpairment (1058).jpg,train\No Impairment\NoImpairment (1058).jpg,train,No Impairment,1.754103,109.56,10,1,success
NoImpairment (1059).jpg,data\train\No Impairment\NoImpairment (1059).jpg,train\No Impairment\NoImpairment (1059).jpg,train,No Impairment,1.553976,96.06,10,1,success
NoImpairment (106).jpg,data\train\No Impairment\NoImpairment (106).jpg,train\No Impairment\NoImpairment (106).jpg,train,No Impairment,0.784503,104.2,10,1,success
NoImpairment (1060).jpg,data\train\No Impairment\NoImpairment (1060).jpg,train\No Impairment\NoImpairment (1060).jpg,train,No Impairment,1.741253,93.38,10,1,success
NoImpairment (1061).jpg,data\train\No Impairment\NoImpairment (1061).jpg,train\No Impairment\NoImpairment (1061).jpg,train,No Impairment,1.499582,109.85,10,1,success
NoImpairment (1062).jpg,data\train\No Impairment\NoImpairment (1062).jpg,train\No Impairment\NoImpairment (1062).jpg,train,No Impairment,0.889695,112.27,10,1,success
NoImpairment (1063).jpg,data\train\No Impairment\NoImpairment (1063).jpg,train\No Impairment\NoImpairment (1063).jpg,train,No Impairment,1.014923,108.27,10,1,success
NoImpairment (1064).jpg,data\train\No Impairment\NoImpairment (1064).jpg,train\No Impairment\NoImpairment (1064).jpg,train,No Impairment,0.140725,104.05,10,1,success
NoImpairment (1065).jpg,data\train\No Impairment\NoImpairment (1065).jpg,train\No Impairment\NoImpairment (1065).jpg,train,No Impairment,0.179885,98.62,10,1,success
NoImpairment (1066).jpg,data\train\No Impairment\NoImpairment (1066).jpg,train\No Impairment\NoImpairment (1066).jpg,train,No Impairment,1.369552,103.75,10,1,success
NoImpairment (1067).jpg,data\train\No Impairment\NoImpairment (1067).jpg,train\No Impairment\NoImpairment (1067).jpg,train,No Impairment,0.55853,108.3,10,1,success
NoImpairment (1068).jpg,data\train\No Impairment\NoImpairment (1068).jpg,train\No Impairment\NoImpairment (1068).jpg,train,No Impairment,0.506716,92.23,10,1,success
NoImpairment (1069).jpg,data\train\No Impairment\NoImpairment (1069).jpg,train\No Impairment\NoImpairment (1069).jpg,train,No Impairment,0.220773,102.24,10,1,success
NoImpairment (107).jpg,data\train\No Impairment\NoImpairment (107).jpg,train\No Impairment\NoImpairment (107).jpg,train,No Impairment,0.323325,104.86,10,1,success
NoImpairment (1070).jpg,data\train\No Impairment\NoImpairment (1070).jpg,train\No Impairment\NoImpairment (1070).jpg,train,No Impairment,1.607359,271.35,10,1,success
NoImpairment (1071).jpg,data\train\No Impairment\NoImpairment (1071).jpg,train\No Impairment\NoImpairment (1071).jpg,train,No Impairment,0.812768,89.25,10,1,success
NoImpairment (1072).jpg,data\train\No Impairment\NoImpairment (1072).jpg,train\No Impairment\NoImpairment (1072).jpg,train,No Impairment,1.017224,107.7,10,1,success
NoImpairment (1073).jpg,data\train\No Impairment\NoImpairment (1073).jpg,train\No Impairment\NoImpairment (1073).jpg,train,No Impairment,1.078397,105.7,10,1,success
NoImpairment (1074).jpg,data\train\No Impairment\NoImpairment (1074).jpg,train\No Impairment\NoImpairment (1074).jpg,train,No Impairment,0.052596,105.82,10,1,success
NoImpairment (1075).jpg,data\train\No Impairment\NoImpairment (1075).jpg,train\No Impairment\NoImpairment (1075).jpg,train,No Impairment,1.380848,95.88,10,1,success
NoImpairment (1076).jpg,data\train\No Impairment\NoImpairment (1076).jpg,train\No Impairment\NoImpairment (1076).jpg,train,No Impairment,0.578311,81.16,10,1,success
NoImpairment (1077).jpg,data\train\No Impairment\NoImpairment (1077).jpg,train\No Impairment\NoImpairment (1077).jpg,train,No Impairment,1.000884,92.19,10,1,success
NoImpairment (1078).jpg,data\train\No Impairment\NoImpairment (1078).jpg,train\No Impairment\NoImpairment (1078).jpg,train,No Impairment,0.198235,90.36,10,1,success
NoImpairment (1079).jpg,data\train\No Impairment\NoImpairment (1079).jpg,train\No Impairment\NoImpairment (1079).jpg,train,No Impairment,0.999289,112.11,10,1,success
NoImpairment (108).jpg,data\train\No Impairment\NoImpairment (108).jpg,train\No Impairment\NoImpairment (108).jpg,train,No Impairment,0.861588,86.98,10,1,success
NoImpairment (1080).jpg,data\train\No Impairment\NoImpairment (1080).jpg,train\No Impairment\NoImpairment (1080).jpg,train,No Impairment,0.030156,99.99,10,1,success
NoImpairment (1081).jpg,data\train\No Impairment\NoImpairment (1081).jpg,train\No Impairment\NoImpairment (1081).jpg,train,No Impairment,1.272374,107.74,10,1,success
NoImpairment (1082).jpg,data\train\No Impairment\NoImpairment (1082).jpg,train\No Impairment\NoImpairment (1082).jpg,train,No Impairment,1.365174,86.3,10,1,success
NoImpairment (1083).jpg,data\train\No Impairment\NoImpairment (1083).jpg,train\No Impairment\NoImpairment (1083).jpg,train,No Impairment,1.472395,84.03,10,1,success
NoImpairment (1084).jpg,data\train\No Impairment\NoImpairment (1084).jpg,train\No Impairment\NoImpairment (1084).jpg,train,No Impairment,0.306056,94.5,10,1,success
NoImpairment (1085).jpg,data\train\No Impairment\NoImpairment (1085).jpg,train\No Impairment\NoImpairment (1085).jpg,train,No Impairment,0.910832,86.85,10,1,success
NoImpairment (1086).jpg,data\train\No Impairment\NoImpairment (1086).jpg,train\No Impairment\NoImpairment (1086).jpg,train,No Impairment,1.909663,84.83,10,1,success
NoImpairment (1087).jpg,data\train\No Impairment\NoImpairment (1087).jpg,train\No Impairment\NoImpairment (1087).jpg,train,No Impairment,1.052211,88.52,10,1,success
NoImpairment (1088).jpg,data\train\No Impairment\NoImpairment (1088).jpg,train\No Impairment\NoImpairment (1088).jpg,train,No Impairment,0.426034,86.6,10,1,success
NoImpairment (1089).jpg,data\train\No Impairment\NoImpairment (1089).jpg,train\No Impairment\NoImpairment (1089).jpg,train,No Impairment,0.478203,139.84,10,1,success
NoImpairment (109).jpg,data\train\No Impairment\NoImpairment (109).jpg,train\No Impairment\NoImpairment (109).jpg,train,No Impairment,0.824045,98.67,10,1,success
NoImpairment (1090).jpg,data\train\No Impairment\NoImpairment (1090).jpg,train\No Impairment\NoImpairment (1090).jpg,train,No Impairment,0.09207,94.61,10,1,success
NoImpairment (1091).jpg,data\train\No Impairment\NoImpairment (1091).jpg,train\No Impairment\NoImpairment (1091).jpg,train,No Impairment,0.995796,89.42,10,1,success
NoImpairment (1092).jpg,data\train\No Impairment\NoImpairment (1092).jpg,train\No Impairment\NoImpairment (1092).jpg,train,No Impairment,0.002251,108.11,10,1,success
NoImpairment (1093).jpg,data\train\No Impairment\NoImpairment (1093).jpg,train\No Impairment\NoImpairment (1093).jpg,train,No Impairment,1.001448,122.74,10,1,success
NoImpairment (1094).jpg,data\train\No Impairment\NoImpairment (1094).jpg,train\No Impairment\NoImpairment (1094).jpg,train,No Impairment,0.473032,94.03,10,1,success
NoImpairment (1095).jpg,data\train\No Impairment\NoImpairment (1095).jpg,train\No Impairment\NoImpairment (1095).jpg,train,No Impairment,0.054689,98.08,10,1,success
NoImpairment (1096).jpg,data\train\No Impairment\NoImpairment (1096).jpg,train\No Impairment\NoImpairment (1096).jpg,train,No Impairment,0.249988,101.22,10,1,success
NoImpairment (1097).jpg,data\train\No Impairment\NoImpairment (1097).jpg,train\No Impairment\NoImpairment (1097).jpg,train,No Impairment,0.357104,103.99,10,1,success
NoImpairment (1098).jpg,data\train\No Impairment\NoImpairment (1098).jpg,train\No Impairment\NoImpairment (1098).jpg,train,No Impairment,0.753714,89.51,10,1,success
NoImpairment (1099).jpg,data\train\No Impairment\NoImpairment (1099).jpg,train\No Impairment\NoImpairment (1099).jpg,train,No Impairment,0.915432,88.97,10,1,success
NoImpairment (11).jpg,data\train\No Impairment\NoImpairment (11).jpg,train\No Impairment\NoImpairment (11).jpg,train,No Impairment,0.510775,94.48,10,1,success
NoImpairment (110).jpg,data\train\No Impairment\NoImpairment (110).jpg,train\No Impairment\NoImpairment (110).jpg,train,No Impairment,0.271523,87.05,10,1,success
NoImpairment (1100).jpg,data\train\No Impairment\NoImpairment (1100).jpg,train\No Impairment\NoImpairment (1100).jpg,train,No Impairment,0.581181,89.99,10,1,success
NoImpairment (1101).jpg,data\train\No Impairment\NoImpairment (1101).jpg,train\No Impairment\NoImpairment (1101).jpg,train,No Impairment,0.920915,102.64,10,1,success
NoImpairment (1102).jpg,data\train\No Impairment\NoImpairment (1102).jpg,train\No Impairment\NoImpairment (1102).jpg,train,No Impairment,0.239072,89.94,10,1,success
NoImpairment (1103).jpg,data\train\No Impairment\NoImpairment (1103).jpg,train\No Impairment\NoImpairment (1103).jpg,train,No Impairment,1.027454,106.03,10,1,success
NoImpairment (1104).jpg,data\train\No Impairment\NoImpairment (1104).jpg,train\No Impairment\NoImpairment (1104).jpg,train,No Impairment,1.063741,88.66,10,1,success
NoImpairment (1105).jpg,data\train\No Impairment\NoImpairment (1105).jpg,train\No Impairment\NoImpairment (1105).jpg,train,No Impairment,1.468731,100.96,10,1,success
NoImpairment (1106).jpg,data\train\No Impairment\NoImpairment (1106).jpg,train\No Impairment\NoImpairment (1106).jpg,train,No Impairment,1.941857,109.59,10,1,success
NoImpairment (1107).jpg,data\train\No Impairment\NoImpairment (1107).jpg,train\No Impairment\NoImpairment (1107).jpg,train,No Impairment,0.023831,106.09,10,1,success
NoImpairment (1108).jpg,data\train\No Impairment\NoImpairment (1108).jpg,train\No Impairment\NoImpairment (1108).jpg,train,No Impairment,0.520467,98.06,10,1,success
NoImpairment (1109).jpg,data\train\No Impairment\NoImpairment (1109).jpg,train\No Impairment\NoImpairment (1109).jpg,train,No Impairment,0.382742,89.41,10,1,success
NoImpairment (111).jpg,data\train\No Impairment\NoImpairment (111).jpg,train\No Impairment\NoImpairment (111).jpg,train,No Impairment,0.991953,104.07,10,1,success
NoImpairment (1110).jpg,data\train\No Impairment\NoImpairment (1110).jpg,train\No Impairment\NoImpairment (1110).jpg,train,No Impairment,0.368249,92.96,10,1,success
NoImpairment (1111).jpg,data\train\No Impairment\NoImpairment (1111).jpg,train\No Impairment\NoImpairment (1111).jpg,train,No Impairment,0.765445,90.31,10,1,success
NoImpairment (1112).jpg,data\train\No Impairment\NoImpairment (1112).jpg,train\No Impairment\NoImpairment (1112).jpg,train,No Impairment,0.78607,97.97,10,1,success
NoImpairment (1113).jpg,data\train\No Impairment\NoImpairment (1113).jpg,train\No Impairment\NoImpairment (1113).jpg,train,No Impairment,0.034862,101.09,10,1,success
NoImpairment (1114).jpg,data\train\No Impairment\NoImpairment (1114).jpg,train\No Impairment\NoImpairment (1114).jpg,train,No Impairment,0.966647,99.62,10,1,success
NoImpairment (1115).jpg,data\train\No Impairment\NoImpairment (1115).jpg,train\No Impairment\NoImpairment (1115).jpg,train,No Impairment,1.759487,110.72,10,1,success
NoImpairment (1116).jpg,data\train\No Impairment\NoImpairment (1116).jpg,train\No Impairment\NoImpairment (1116).jpg,train,No Impairment,0.897533,92.65,10,1,success
NoImpairment (1117).jpg,data\train\No Impairment\NoImpairment (1117).jpg,train\No Impairment\NoImpairment (1117).jpg,train,No Impairment,1.641596,102.01,10,1,success
NoImpairment (1118).jpg,data\train\No Impairment\NoImpairment (1118).jpg,train\No Impairment\NoImpairment (1118).jpg,train,No Impairment,1.080702,102.8,10,1,success
NoImpairment (1119).jpg,data\train\No Impairment\NoImpairment (1119).jpg,train\No Impairment\NoImpairment (1119).jpg,train,No Impairment,1.079233,107.46,10,1,success
NoImpairment (112).jpg,data\train\No Impairment\NoImpairment (112).jpg,train\No Impairment\NoImpairment (112).jpg,train,No Impairment,0.004686,96.6,10,1,success
NoImpairment (1120).jpg,data\train\No Impairment\NoImpairment (1120).jpg,train\No Impairment\NoImpairment (1120).jpg,train,No Impairment,1.504829,87.51,10,1,success
NoImpairment (1121).jpg,data\train\No Impairment\NoImpairment (1121).jpg,train\No Impairment\NoImpairment (1121).jpg,train,No Impairment,0.617674,97.55,10,1,success
NoImpairment (1122).jpg,data\train\No Impairment\NoImpairment (1122).jpg,train\No Impairment\NoImpairment (1122).jpg,train,No Impairment,0.040188,99.11,10,1,success
NoImpairment (1123).jpg,data\train\No Impairment\NoImpairment (1123).jpg,train\No Impairment\NoImpairment (1123).jpg,train,No Impairment,1.21231,92.13,10,1,success
NoImpairment (1124).jpg,data\train\No Impairment\NoImpairment (1124).jpg,train\No Impairment\NoImpairment (1124).jpg,train,No Impairment,0.060739,94.8,10,1,success
NoImpairment (1125).jpg,data\train\No Impairment\NoImpairment (1125).jpg,train\No Impairment\NoImpairment (1125).jpg,train,No Impairment,0.211109,113.95,10,1,success
NoImpairment (1126).jpg,data\train\No Impairment\NoImpairment (1126).jpg,train\No Impairment\NoImpairment (1126).jpg,train,No Impairment,0.085631,88.4,10,1,success
NoImpairment (1127).jpg,data\train\No Impairment\NoImpairment (1127).jpg,train\No Impairment\NoImpairment (1127).jpg,train,No Impairment,0.30278,96.62,10,1,success
NoImpairment (1128).jpg,data\train\No Impairment\NoImpairment (1128).jpg,train\No Impairment\NoImpairment (1128).jpg,train,No Impairment,1.05903,96.77,10,1,success
NoImpairment (1129).jpg,data\train\No Impairment\NoImpairment (1129).jpg,train\No Impairment\NoImpairment (1129).jpg,train,No Impairment,0.437626,95.17,10,1,success
NoImpairment (113).jpg,data\train\No Impairment\NoImpairment (113).jpg,train\No Impairment\NoImpairment (113).jpg,train,No Impairment,0.039301,82.86,10,1,success
NoImpairment (1130).jpg,data\train\No Impairment\NoImpairment (1130).jpg,train\No Impairment\NoImpairment (1130).jpg,train,No Impairment,1.339884,88.39,10,1,success
NoImpairment (1131).jpg,data\train\No Impairment\NoImpairment (1131).jpg,train\No Impairment\NoImpairment (1131).jpg,train,No Impairment,1.007159,92.89,10,1,success
NoImpairment (1132).jpg,data\train\No Impairment\NoImpairment (1132).jpg,train\No Impairment\NoImpairment (1132).jpg,train,No Impairment,0.393785,100.28,10,1,success
NoImpairment (1133).jpg,data\train\No Impairment\NoImpairment (1133).jpg,train\No Impairment\NoImpairment (1133).jpg,train,No Impairment,0.762658,122.95,10,1,success
NoImpairment (1134).jpg,data\train\No Impairment\NoImpairment (1134).jpg,train\No Impairment\NoImpairment (1134).jpg,train,No Impairment,1.118421,106.74,10,1,success
NoImpairment (1135).jpg,data\train\No Impairment\NoImpairment (1135).jpg,train\No Impairment\NoImpairment (1135).jpg,train,No Impairment,0.485373,96.73,10,1,success
NoImpairment (1136).jpg,data\train\No Impairment\NoImpairment (1136).jpg,train\No Impairment\NoImpairment (1136).jpg,train,No Impairment,0.36282,97.93,10,1,success
NoImpairment (1137).jpg,data\train\No Impairment\NoImpairment (1137).jpg,train\No Impairment\NoImpairment (1137).jpg,train,No Impairment,0.378831,93.33,10,1,success
NoImpairment (1138).jpg,data\train\No Impairment\NoImpairment (1138).jpg,train\No Impairment\NoImpairment (1138).jpg,train,No Impairment,1.700524,93.72,10,1,success
NoImpairment (1139).jpg,data\train\No Impairment\NoImpairment (1139).jpg,train\No Impairment\NoImpairment (1139).jpg,train,No Impairment,1.068592,98.95,10,1,success
NoImpairment (114).jpg,data\train\No Impairment\NoImpairment (114).jpg,train\No Impairment\NoImpairment (114).jpg,train,No Impairment,1.275566,110.86,10,1,success
NoImpairment (1140).jpg,data\train\No Impairment\NoImpairment (1140).jpg,train\No Impairment\NoImpairment (1140).jpg,train,No Impairment,0.468058,99.16,10,1,success
NoImpairment (1141).jpg,data\train\No Impairment\NoImpairment (1141).jpg,train\No Impairment\NoImpairment (1141).jpg,train,No Impairment,0.342285,90.59,10,1,success
NoImpairment (1142).jpg,data\train\No Impairment\NoImpairment (1142).jpg,train\No Impairment\NoImpairment (1142).jpg,train,No Impairment,0.800917,103.27,10,1,success
NoImpairment (1143).jpg,data\train\No Impairment\NoImpairment (1143).jpg,train\No Impairment\NoImpairment (1143).jpg,train,No Impairment,0.01525,96.84,10,1,success
NoImpairment (1144).jpg,data\train\No Impairment\NoImpairment (1144).jpg,train\No Impairment\NoImpairment (1144).jpg,train,No Impairment,0.040407,88.14,10,1,success
NoImpairment (1145).jpg,data\train\No Impairment\NoImpairment (1145).jpg,train\No Impairment\NoImpairment (1145).jpg,train,No Impairment,1.012392,95.87,10,1,success
NoImpairment (1146).jpg,data\train\No Impairment\NoImpairment (1146).jpg,train\No Impairment\NoImpairment (1146).jpg,train,No Impairment,0.790592,109.54,10,1,success
NoImpairment (1147).jpg,data\train\No Impairment\NoImpairment (1147).jpg,train\No Impairment\NoImpairment (1147).jpg,train,No Impairment,0.717613,91.45,10,1,success
NoImpairment (1148).jpg,data\train\No Impairment\NoImpairment (1148).jpg,train\No Impairment\NoImpairment (1148).jpg,train,No Impairment,1.45598,95.66,10,1,success
NoImpairment (1149).jpg,data\train\No Impairment\NoImpairment (1149).jpg,train\No Impairment\NoImpairment (1149).jpg,train,No Impairment,0.161253,96.46,10,1,success
